Web_link-href,TOP SELLING SKU,Product_Name,Brand_Name,Buy_Price,Low_Price,Sold_By
https://www.noon.com/uae-en/gelita-health-collagen-for-joint-and-cartilage-30-vials/N23978407A/p/?o=d7c3b7d27fd82e4c,N23978407A,Gelita Health Collagen For Joint And Cartilage - 30 Vials,Ch-Alpha,AED 161.40 Inclusive of VAT,AED 165.00,Our Own Pharmacy
https://www.noon.com/uae-en/classic-black-edt-for-men-100ml/N11200839A/p/?o=ffcb8bcef1561cba,N11200839A,Classic Black EDT For Men 100ml,JAGUAR,AED 59.00 Inclusive of VAT,AED 62.00,noon
https://www.noon.com/uae-en/iphone-13-128gb-pink-5g-with-facetime-international-specs/N50838986A/p/?o=e8b61ece949bf1fd,N50838986A,iPhone 13 128GB Pink 5G With Facetime - International Specs,Apple,AED 2961.00 Inclusive of VAT,AED 2964.00,Khalid Lemar
https://www.noon.com/uae-en/iphone-13-pro-max-128gb-sierra-blue-5g-with-facetime-international-specs/N50840186A/p/?o=a3ca2ff5c07bdd3a,N50840186A,iPhone 13 Pro Max 128GB Sierra Blue 5G With Facetime - International Specs,Apple,AED 4196.00 Inclusive of VAT,AED 4200.00,Khalid Lemar
https://www.noon.com/uae-en/smart-scale-c1-with-bluetooth/N33949658A/p/?o=b4df0f046b50a8bc,N33949658A,Smart Scale C1 with Bluetooth,eufy,AED 74.95 Inclusive of VAT,AED 78.50,Dar Alamana
https://www.noon.com/uae-en/redmi-note-11-dual-sim-graphite-gray-6gb-ram-128gb-4g-lte-global-version/N52512042A/p/?o=c6bb4012efd6471e,N52512042A,Redmi Note 11 Dual SIM Graphite Gray 6GB RAM 128GB 4G LTE - Global Version,Xiaomi,AED 660.00 Inclusive of VAT,AED 648.00,gadgetguru.dxb
https://www.noon.com/uae-en/iphone-12-with-facetime-64gb-black-5g-international-specs/N41247589A/p/?o=cf465a93697156fb,N41247589A,iPhone 12 With Facetime 64GB Black 5G - International Specs,Apple,AED 2249.00 Inclusive of VAT,AED 2249.00,Blue Chips UAE
https://www.noon.com/uae-en/switch-oled-2021-model-neon-blue-red-joy-con-intl-version/N51213202A/p/?o=ef3f2910599595ef,N51213202A,Switch OLED (2021) Model - Neon Blue & Red Joy Con (Intl Version),Nintendo,AED 1238.00 Inclusive of VAT,AED 1239.00,HalaGadget
https://www.noon.com/uae-en/microwave-oven-with-defrost-function-20-l-700-w-mz2010p-b5-black-silver/N11426633A/p/?o=f6e8bcb6b79f367a,N11426633A,Microwave Oven With Defrost Function 20 L 700 W MZ2010P-B5 Black/Silver,BLACK+DECKER,AED 235.00 Inclusive of VAT,AED 235.00,noon
https://www.noon.com/uae-en/shoe-rack-5-shelves-with-stainless-steel-frame-grey-60x30x90cm/N24214887A/p/?o=d2957ae2c496366c,N24214887A,Shoe Rack 5 Shelves With Stainless Steel Frame Grey 60x30x90cm,ALMUFARREJ,AED 27.90 Inclusive of VAT,AED 24.00,mart
https://www.noon.com/uae-en/premium-care-baby-diapers-size-6-13-kg-60-count-mega-box-helps-prevent-rashes/N20940459A/p/?o=b1c1c4c66a7c0c8c,N20940459A,"Premium Care Baby Diapers, Size 6, 13+ Kg, 60 Count - Mega Box, Helps Prevent Rashes",Pampers,AED 123.65 Inclusive of VAT,null,noon
https://www.noon.com/uae-en/digital-air-fryer-3-5-l-1500-w-gaf37512-black/N31867146A/p/?o=f13bccaa7f4fd09f,N31867146A,Digital Air Fryer 3.5 L 1500 W GAF37512 Black,GEEPAS,AED 189.00 Inclusive of VAT,AED 279.00,Western International (L.L.C.)
https://www.noon.com/uae-en/mocha-mahogany-edp-and-oud-aura-edp-gift-set-men-s-perfume-100ml/N25835819A/p/?o=a09c2d4bc37dcd6b,N25835819A,Mocha Mahogany EDP And Oud Aura EDP Gift Set Men's Perfume 100ml,Niya,AED 39.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/airpods-pro-with-magsafe-charging-case-white/N47626990A/p/?o=a0b9ffd60f8fe80d,N47626990A,AirPods Pro With MagSafe Charging Case White,Apple,AED 707.00 Inclusive of VAT,AED 707.00,A2Z mobiles
https://www.noon.com/uae-en/25000-mah-power-bank-black/N15580433A/p/?o=c3df0148911bf84d,N15580433A,25000 mAh Power Bank Black,VEGER,AED 38.00 Inclusive of VAT,AED 38.00,S3 TECHNOLOGY LLC
https://www.noon.com/uae-en/15-piece-granite-marble-coated-aluminum-pots-and-pans-cookware-set-with-non-stick-surface-and-wood-finish-handles-pfoa-free-black/N26505143A/p/?o=e6e0b1d69f6df16a,N26505143A,15-Piece Granite/Marble-Coated Aluminum Pots and Pans Cookware Set with Non-Stick Surface and Wood Finish Handles - PFOA-Free Black,noon east,AED 219.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/borosilicate-glass-food-container-lunch-box-set-with-airtight-lids-yellow-3-piece-rectangle/N20689066A/p/?o=cb0419c5b2c7bcac,N20689066A,Borosilicate Glass Food Container Lunch box Set With Airtight Lids Yellow 3-Piece (Rectangle),noon east,AED 15.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/paradiso-edp-75ml/N11202242A/p/?o=f72d0037f5142eda,N11202242A,Paradiso EDP 75ml,roberto cavalli,AED 109.00 Inclusive of VAT,AED 115.00,noon
https://www.noon.com/uae-en/10-piece-extra-time-condoms/N33766131A/p/?o=f96caa6cd8bcdb8e,N33766131A,10-Piece Extra Time Condoms,durex,AED 15.95 Inclusive of VAT,AED 12.85,Deal Store
https://www.noon.com/uae-en/peeling-solution-serum-red-30ml/N26595800A/p/?o=a17f8a834698de5b,N26595800A,Peeling Solution Serum Red 30ml,The Ordinary,AED 35.49 Inclusive of VAT,AED 35.00,noon
https://www.noon.com/uae-en/50-inch-4k-uhd-hdr-smart-tv-vidaa-os-50a6ge-black/N46959532A/p/?o=ff35f86e281a933f,N46959532A,50-Inch 4K UHD HDR Smart TV Vidaa OS 50A6GE Black,Hisense,AED 1125.00 Inclusive of VAT,AED 1339.00,noon
https://www.noon.com/uae-en/unisex-mi-1s-electric-scooter-108x114x43cm/N39770139A/p/?o=f689939bbdf2b58e,N39770139A,Unisex Mi 1S Electric Scooter 108x114x43cm,Xiaomi,AED 959.00 Inclusive of VAT,null,noon
https://www.noon.com/uae-en/10-piece-3d-brick-pattern-decorative-wallpaper-set-off-white-70-x-70cm/N27357160A/p/?o=a273f23ccef9336c,N27357160A,10-Piece 3D Brick Pattern Decorative Wallpaper Set Off White 70 x 70cm,Cool Baby,AED 36.95 Inclusive of VAT,AED 34.00,Dali LLC
https://www.noon.com/uae-en/multi-functional-multicolored-writing-drawing-music-walker-assorted-6-months-45x42x34cm/N13565674A/p/?o=ae7c19f964b05c6b,N13565674A,"Multi-Functional Multicolored Writing, Drawing, Music Walker Assorted 6+ Months 45x42x34cm",HUANGER,AED 49.00 Inclusive of VAT,AED 65.00,noon
https://www.noon.com/uae-en/xbox-series-s-512-gb-digital-console-with-wireless-controller/N40635117A/p/?o=c8c04ac6d9bce34b,N40635117A,Xbox Series S 512 GB Digital Console With Wireless Controller,Microsoft,AED 1039.00 Inclusive of VAT,AED 1039.00,HalaGadget
https://www.noon.com/uae-en/iphone-13-pro-max-128gb-alpine-green-5g-with-facetime-international-version/N52929050A/p/?o=e86a6b784abeaadb,N52929050A,iPhone 13 Pro max 128GB Alpine Green 5G With Facetime - International version,Apple,AED 4184.00 Inclusive of VAT,AED 4189.00,Khalid Lemar
https://www.noon.com/uae-en/f1s-dual-sim-golden-4gb-ram-32gb-4g-lte/N11046227A/p/?o=a8c9dae4e90e1a2b,N11046227A,F1s Dual SIM Golden 4GB RAM 32GB 4G LTE,OPPO,AED 235.00 Inclusive of VAT,AED 229.00,Global Phones
https://www.noon.com/uae-en/4-piece-handheld-floor-cleaning-spray-mop-with-towels-set-multicolour-110centimeter/N38089858A/p/?o=c7602c64908f530c,N38089858A,4 Piece Handheld Floor Cleaning Spray Mop With Towels Set Multicolour 110centimeter,A&H,AED 38.00 Inclusive of VAT,AED 31.00,mart
https://www.noon.com/uae-en/android-tv-box-11-1-1gb-8gb-64-bit-4-core-cpu-black/N11797081A/p/?o=cac2d8de3875875a,N11797081A,Android TV Box 11.1 (1GB+8GB) 64 Bit 4-Core CPU black,MXQ Pro,AED 79.00 Inclusive of VAT,AED 69.00,E-trends
https://www.noon.com/uae-en/50-piece-3d-face-mask/N43807483A/p/?o=c7e440c70d2c2b0f,N43807483A,50 Piece 3D Face Mask,Swift,AED 42.20 Inclusive of VAT,AED 41.95,SWIFT-UAE
https://www.noon.com/uae-en/airfryer-with-stainless-steel-outer-body-4-l-1400-w-gla-309-mechanical-silver-black/N39295998A/p/?o=a4744863f83ca1de,N39295998A,Airfryer With Stainless Steel Outer Body 4 L 1400 W GLA-309 Mechanical - Silver/Black,noon east,AED 205.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/18-piece-high-quality-stainless-steel-cookware-set-silver/N20689072A/p/?o=aabd2e289d86e5ec,N20689072A,18-Piece High Quality Stainless Steel Cookware Set Silver,noon east,AED 149.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/2-piece-sound-sleep-hotel-hypoallergenic-soft-bed-gel-extra-fiber-stripped-pillow-set-for-side-and-back-includes-2xpillow-cotton-white-16x24inch/N14341258A/p/?o=ff3e7401f316eb9a,N14341258A,2-Piece Sound Sleep Hotel Hypoallergenic Soft Bed Gel Extra Fiber Stripped Pillow Set For Side And Back Includes 2xPillow Cotton White 16x24inch,Comfy,AED 34.50 Inclusive of VAT,AED 29.00,Happy.Shopping
https://www.noon.com/uae-en/iphone-13-128gb-green-5g-with-facetime-international-version/N52943836A/p/?o=e0c39e1770cce89f,N52943836A,iPhone 13 128GB Green 5G With Facetime - International version,Apple,AED 2962.00 Inclusive of VAT,AED 2965.00,Khalid Lemar
https://www.noon.com/uae-en/om-5-athens-grey/N50626103A/p/?o=a7d5ad3fec81eaff,N50626103A,OM 5 Athens Grey,dji,AED 439.00 Inclusive of VAT,AED 599.00,noon
https://www.noon.com/uae-en/al-wisam-day-edp-100ml/N12890397A/p/?o=f177209c1464ebfb,N12890397A,Al Wisam Day EDP 100ml,Rasasi,AED 87.00 Inclusive of VAT,AED 105.00,noon
https://www.noon.com/uae-en/trek-one-fold-adjustable-stroller-with-swivel-wheel-and-removable-tray-grey/N43285159A/p/?o=d55634b537aa6a9a,N43285159A,Trek One Fold Adjustable Stroller With Swivel Wheel And Removable Tray - Grey,Moon,AED 164.05 Inclusive of VAT,null,noon
https://www.noon.com/uae-en/16-piece-bullet-shaped-paint-marker-set-0-9-1-3-mm-multicolour/N34387833A/p/?o=c9c7280074ffb8cb,N34387833A,16-Piece Bullet Shaped Paint Marker Set 0.9-1.3 mm Multicolour,POSCA,AED 97.35 Inclusive of VAT,AED 97.40,MTHALIA
https://www.noon.com/uae-en/large-toddler-stainless-steer-pipe-foldable-safe-baby-playpen-for-twin-blue/N39697111A/p/?o=bc7af4356e77138e,N39697111A,"Large Toddler Stainless Steer Pipe Foldable, Safe Baby Playpen For Twin - Blue",SKY-TOUCH,AED 123.00 Inclusive of VAT,AED 120.00,SKY TOUCH
https://www.noon.com/uae-en/cool-water-edt-200ml/N19151439A/p/?o=ef9dd8c6135ba6aa,N19151439A,Cool Water EDT 200ml,DAVIDOFF,AED 95.00 Inclusive of VAT,AED 105.00,noon
https://www.noon.com/uae-en/automatic-original-scented-detergent-powder-9kg/N11376541A/p/?o=d44f9c3fd0d7e2fe,N11376541A,Automatic Original Scented Detergent Powder 9kg,ARIEL,AED 78.40 Inclusive of VAT,AED 114.50,Noon Grocery
https://www.noon.com/uae-en/iphone-13-pro-max-256gb-sierra-blue-5g-with-facetime-international-specs/N50840187A/p/?o=be405b07583333dd,N50840187A,iPhone 13 Pro Max 256GB Sierra Blue 5G With Facetime - International Specs,Apple,AED 4620.00 Inclusive of VAT,AED 4615.00,MANGO PHONES
https://www.noon.com/uae-en/healthy-mix-anti-fatigue-foundation-30-ml-53-light-beige/N11114331A/p/?o=a0e7c7a8794b977e,N11114331A,Healthy Mix Anti-Fatigue Foundation 30 ml 53 Light Beige,BOURJOIS PARIS,AED 26.25 Inclusive of VAT,null,Coty Official Store
https://www.noon.com/uae-en/medicated-quilted-folding-mattress-white-single/N14341254A/p/?o=f9c238733ce123af,N14341254A,Medicated Quilted Folding Mattress White Single,Comfy,AED 88.00 Inclusive of VAT,AED 79.95,Comfy BeanBags
https://www.noon.com/uae-en/36v-electric-drifting-scooter-with-helmet-knee-and-elbow-protector-94x60x64cm/N32502747A/p/?o=ffbb59279ccdde5a,N32502747A,"36V Electric Drifting Scooter With Helmet, Knee And Elbow protector 94x60x64cm",Rockbaby,AED 299.00 Inclusive of VAT,null,noon
https://www.noon.com/uae-en/pack-of-10-facial-sheet-masks-for-the-skin-multi-flavour-0-87ounce/N47694457A/p/?o=cc93a4f1b7a6f66f,N47694457A,Pack Of 10 Facial Sheet Masks For The Skin Multi Flavour 0.87ounce,Niya,AED 15.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/iphone-13-pro-max-256gb-alpine-green-5g-with-facetime-international-version/N52929056A/p/?o=cfbe9274925851ea,N52929056A,iPhone 13 Pro max 256GB Alpine Green 5G With Facetime - International version,Apple,AED 4610.00 Inclusive of VAT,AED 4559.00,Khalid Lemar
https://www.noon.com/uae-en/galaxy-m52-dual-sim-black-8gb-ram-128gb-5g-middle-east-version/N51315010A/p/?o=f42132f6447d3bab,N51315010A,Galaxy M52 Dual SIM Black 8GB RAM 128GB 5G - Middle East Version,Samsung,AED 939.00 Inclusive of VAT,AED 959.00,noon
https://www.noon.com/uae-en/aluminum-pressure-cooker-with-induction-base-silver-5l/N30390809A/p/?o=be86a6bd24b21a1f,N30390809A,Aluminum Pressure Cooker With Induction Base Silver 5L,noon east,AED 39.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/glycolic-acid-7-percent-toning-solution-clear-240ml/N22444923A/p/?o=c6289b4a59df224a,N22444923A,Glycolic Acid 7 Percent Toning Solution Clear 240ml,The Ordinary,AED 49.75 Inclusive of VAT,AED 63.95,noon
https://www.noon.com/uae-en/glass-food-container-set-with-airtight-bamboo-lids-clear-12-piece/N32034223A/p/?o=fbec633d9f0aa36c,N32034223A,Glass Food Container Set With Airtight Bamboo Lids Clear 12-Piece,noon east,AED 89.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/112-piece-baby-self-standing-bottom-design-breast-milk-storage-bags-with-double-zipper/N24693558A/p/?o=b64ce719bf6bb61a,N24693558A,112 Piece Baby Self-standing Bottom Design Breast Milk Storage Bags With Double Zipper,Bimirth,AED 37.00 Inclusive of VAT,AED 37.00,LNKOO
https://www.noon.com/uae-en/eternity-aqua-edt-3-4-fl-oz-100ml/N11201986A/p/?o=b117ea7e11df1c7f,N11201986A,Eternity Aqua EDT 3.4 Fl Oz/ 100ml,CALVIN KLEIN,AED 88.00 Inclusive of VAT,AED 88.65,noon
https://www.noon.com/uae-en/nord-ce-2-dual-sim-gray-mirror-8gb-ram-128gb-5g-international-version/N52751033A/p/?o=a800afd36415c73d,N52751033A,Nord CE 2 Dual SIM Gray Mirror 8GB RAM 128GB 5G - International Version,OnePlus,AED 1049.00 Inclusive of VAT,AED 1100.00,callmate
https://www.noon.com/uae-en/airpods-with-charging-case-white/N22732308A/p/?o=ed18bdbedc4e9e0a,N22732308A,Airpods With Charging Case White,Apple,AED 439.00 Inclusive of VAT,AED 429.00,HalaGadget
https://www.noon.com/uae-en/watch-series-7-gps-45mm-aluminium-case-with-sport-band-starlight/N51220170A/p/?o=b2625916a97ab5fd,N51220170A,Watch Series 7 GPS 45mm Aluminium Case with Sport Band Starlight,Apple,AED 1449.00 Inclusive of VAT,AED 1470.00,noon
https://www.noon.com/uae-en/grand-theft-auto-v-intl-version-action-shooter-ps4-ps5/N30107462A/p/?o=e8eb688afd2dc62c,N30107462A,Grand Theft Auto V - (Intl Version) - Action & Shooter - PS4/PS5,Rockstar Games,AED 67.00 Inclusive of VAT,AED 58.75,Rasengan
https://www.noon.com/uae-en/super-soft-microplush-fleece-bathrobe-for-both-men-and-women-255-gsm-with-shawl-collar-and-pockets-white-s-m/N45563591A/p/?o=ad83cba62e71420e,N45563591A,"Super Soft Microplush Fleece, Bathrobe For both Men And Women 255 GSM With Shawl Collar and Pockets White S/M",Amal,AED 45.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/club-de-nuit-intense-edt-105ml/N14042729A/p/?o=cfd09029b5acfb6d,N14042729A,Club De Nuit Intense EDT 105ml,ARMAF SERIES,AED 94.00 Inclusive of VAT,AED 94.00,noon
https://www.noon.com/uae-en/galaxy-a32-dual-sim-awesome-black-6gb-ram-128gb-4g-lte-middle-east-version/N44806993A/p/?o=d53a0efa074764de,N44806993A,Galaxy A32 Dual SIM Awesome Black 6GB RAM 128GB 4G LTE- Middle East Version,Samsung,AED 732.00 Inclusive of VAT,AED 729.00,New-Tech
https://www.noon.com/uae-en/toy-digital-camera-with-32-gb-memory-card-and-reader/N31172072A/p/?o=bdbe8eac6622174c,N31172072A,Toy Digital Camera With 32 GB Memory Card And Reader,AMERTEER,AED 60.00 Inclusive of VAT,null,LNKOO
https://www.noon.com/uae-en/macbook-air-mgn63-13-display-apple-m1-chip-with-8-core-processor-and-7-core-graphics-8gb-ram-256gb-ssd-integrated-graphics-mac-os-english-space-grey/N42284105A/p/?o=a70edf83ddd898ed,N42284105A,"Macbook Air MGN63 13"" Display, Apple M1 Chip With 8-Core Processor and 7-Core Graphics / 8GB RAM / 256GB SSD / Integrated Graphics / mac OS / English Space Grey",Apple,AED 3669.00 Inclusive of VAT,AED 3675.00,Futurestore
https://www.noon.com/uae-en/premium-care-baby-diapers-size-4-9-14-kg-200-count-100-x-2-helps-prevent-rashes/N11584189A/p/?o=ce4af3f2dd9c81ae,N11584189A,"Premium Care Baby Diapers, Size 4, 9 - 14 Kg, 200 Count (100 x 2) - Helps Prevent Rashes",Pampers,AED 210.25 Inclusive of VAT,null,noon
https://www.noon.com/uae-en/20w-usb-c-power-adapter-white/N41193796A/p/?o=fe4eb6d47202266e,N41193796A,20W USB-C Power Adapter White,Apple,AED 48.00 Inclusive of VAT,AED 47.00,Atech Global
https://www.noon.com/uae-en/quest-2-advanced-all-in-one-vr-headset-128gb-white/N53269697A/p/?o=def3cc277905baea,N53269697A,Quest 2 Advanced All-In-One VR Headset 128GB White,Meta,AED 1139.00 Inclusive of VAT,AED 1129.00,Deals Central
https://www.noon.com/uae-en/viva-facial-tissue-5-boxes-x-150-sheets-x-2-ply-white/N47118205A/p/?o=f4a81a2dcc016cee,N47118205A,Viva Facial Tissue 5 Boxes X 150 Sheets X 2 Ply White,BUNNY,AED 9.45 Inclusive of VAT,null,VIVA
https://www.noon.com/uae-en/scented-reed-diffuser-lavender-100ml/N29375490A/p/?o=e94c5154a61f030b,N29375490A,Scented Reed Diffuser Lavender 100ml,noon east,AED 32.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/oriental-night-edp-and-ocean-breeze-edp-gift-set-100ml/N25835817A/p/?o=a9480be12b5a531b,N25835817A,Oriental Night EDP And Ocean Breeze EDP Gift Set 100ml,Niya,AED 39.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/mi-electric-scooter-essential/N39905470A/p/?o=b7a5a7d6e58e87db,N39905470A,Mi Electric Scooter Essential,Xiaomi,AED 875.00 Inclusive of VAT,null,noon
https://www.noon.com/uae-en/drum-type-vacuum-cleaner-18-l-2100-w-cv950f-24cbs-wr-brown-red/N25553415A/p/?o=f5096c83d735570a,N25553415A,Drum Type Vacuum Cleaner 18 L 2100 W CV950F 24CBS WR Brown/Red,HITACHI,AED 359.00 Inclusive of VAT,AED 357.00,Dubai Electronics
https://www.noon.com/uae-en/electric-kettle-1-8-l-1500-w-xz-518-silver-black/N39599771A/p/?o=c156e4b6b9d989bf,N39599771A,Electric Kettle 1.8 L 1500 W XZ-518 Silver/Black,Amal,AED 29.00 Inclusive of VAT,null,noon Brands
https://www.noon.com/uae-en/antiseptic-healing-cream-to-protect-nappy-rash-and-surface-wound-250g/N24242585A/p/?o=f02b4182ea8f5e5f,N24242585A,Antiseptic Healing Cream To Protect Nappy Rash And Surface Wound - 250g,Sudocrem,AED 27.95 Inclusive of VAT,AED 18.00,Deal Store
https://www.noon.com/uae-en/32-piece-push-pop-bubble-sensory-fidget-toy-set-16cm/N50947047A/p/?o=f7fabe8aeebc853d,N50947047A,32-Piece Push Pop Bubble Sensory Fidget Toy Set 16cm,ESSEN,AED 59.00 Inclusive of VAT,AED 59.00,noon
https://www.noon.com/uae-en/6-piece-matte-lipstick-set-multicolor/N19142175A/p/?o=e2fc07257518a46c,N19142175A,6 Piece Matte Lipstick Set Multicolor,Heng Fang,AED 15.00 Inclusive of VAT,AED 14.75,Best Buy
